Module,SysCall Name,SysCall Number,Count
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/visitors.py,mmap,222,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,openat,56,36
/workspace/Python-3.10.0/Lib/socketserver.py,getdents,61,8
/workspace/bcc/web_application/main.py,pread,67,62
/workspace/Python-3.10.0/Lib/http/server.py,ioctl,29,76
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,read,63,1
/workspace/Python-3.10.0/Lib/logging/__init__.py,read,63,81
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,getpid,172,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,wait4,260,36
/workspace/bcc/web_application/main.py,ppoll,73,18
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,pread,67,56
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,newfstat,80,8
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,fcntl,25,856
/workspace/Python-3.10.0/Lib/logging/__init__.py,newfstatat,79,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,munmap,215,9
<string>,pwrite,68,56
/workspace/Python-3.10.0/Lib/selectors.py,epoll_pwait,22,61
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,close,57,20
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/util/langhelpers.py,mmap,222,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,openat,56,11
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,openat,56,3
/workspace/Python-3.10.0/Lib/socketserver.py,wait4,260,36
/workspace/Python-3.10.0/Lib/http/server.py,wait4,260,18
/workspace/Python-3.10.0/Lib/http/server.py,write,64,203
/workspace/Python-3.10.0/Lib/subprocess.py,rt_sigprocmask,135,54
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,getpid,172,378
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,fdatasync,83,8
<frozen importlib._bootstrap>,mmap,222,27
/workspace/Python-3.10.0/Lib/http/server.py,read,63,98
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,pread,67,6
/workspace/bcc/web_application/main.py,openat,56,13
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,pipe2,59,81
<string>,fchown,55,4
/workspace/Python-3.10.0/Lib/socketserver.py,getpid,172,260
/workspace/Python-3.10.0/Lib/http/server.py,mprotect,226,4
<string>,geteuid,175,4
/workspace/Python-3.10.0/Lib/socketserver.py,fdatasync,83,32
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,epoll_pwait,22,183
/workspace/Python-3.10.0/Lib/traceback.py,ioctl,29,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/query.py,newfstatat,79,188
/workspace/Python-3.10.0/Lib/subprocess.py,read,63,108
/workspace/Python-3.10.0/Lib/socketserver.py,pipe2,59,108
/workspace/Python-3.10.0/Lib/http/server.py,openat,56,18
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,lseek,62,21
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,unlinkat,35,6
/workspace/Python-3.10.0/Lib/subprocess.py,ppoll,73,54
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,close,57,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,getdents,61,2
/workspace/Python-3.10.0/Lib/socket.py,accept4,242,61
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,close,57,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,openat,56,19
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/context.py,fcntl,25,149
/workspace/Python-3.10.0/Lib/socketserver.py,geteuid,175,8
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,close,57,5
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,brk,214,3
/workspace/Python-3.10.0/Lib/http/server.py,sendto,206,366
/workspace/Python-3.10.0/Lib/socketserver.py,unlinkat,35,8
/workspace/Python-3.10.0/Lib/socketserver.py,sendto,206,610
/workspace/Python-3.10.0/Lib/socketserver.py,epoll_pwait,22,244
/workspace/Python-3.10.0/Lib/socketserver.py,pwrite,68,144
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/loading.py,fcntl,25,63
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,geteuid,175,8
/workspace/Python-3.10.0/Lib/tokenize.py,ioctl,29,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,munmap,215,14
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,read,63,5
<frozen importlib._bootstrap>,close,57,19
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,ioctl,29,14
/workspace/Python-3.10.0/Lib/subprocess.py,lseek,62,36
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,mmap,222,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,munmap,215,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,unlinkat,35,8
/workspace/bcc/web_application/main.py,rt_sigprocmask,135,18
/workspace/Python-3.10.0/Lib/logging/__init__.py,newfstat,80,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,newfstatat,79,16
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,newfstat,80,53
/workspace/Python-3.10.0/Lib/socketserver.py,mprotect,226,8
/workspace/Python-3.10.0/Lib/subprocess.py,pipe2,59,81
/workspace/Python-3.10.0/Lib/socketserver.py,epoll_create1,20,244
/workspace/Python-3.10.0/Lib/http/server.py,pwrite,68,72
/workspace/Python-3.10.0/Lib/socketserver.py,openat,56,36
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/loading.py,newfstat,80,4
/workspace/bcc/web_application/main.py,getdents,61,4
/workspace/Python-3.10.0/Lib/linecache.py,newfstat,80,3
/workspace/Python-3.10.0/Lib/http/server.py,getdents,61,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,pwrite,68,20
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,recvfrom,207,244
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,getdents,61,14
/workspace/Python-3.10.0/Lib/http/server.py,recvfrom,207,244
/workspace/Python-3.10.0/Lib/linecache.py,lseek,62,3
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/query.py,newfstat,80,94
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,fdatasync,83,8
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,lseek,62,63
/workspace/Python-3.10.0/Lib/socketserver.py,close,57,740
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,mprotect,226,14
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/query.py,fcntl,25,331
/workspace/bcc/web_application/main.py,fdatasync,83,8
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,pwrite,68,144
<string>,openat,56,8
<frozen importlib._bootstrap_external>,newfstatat,79,71
<string>,pread,67,8
<frozen importlib._bootstrap>,mprotect,226,18
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,write,64,7
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,fcntl,25,642
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,unlinkat,35,2
/workspace/Python-3.10.0/Lib/subprocess.py,newfstat,80,36
/workspace/Python-3.10.0/Lib/random.py,getrandom,278,12
/workspace/Python-3.10.0/Lib/selectors.py,ppoll,73,245
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/context.py,mmap,222,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,unlinkat,35,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,openat,56,27
/workspace/Python-3.10.0/Lib/socketserver.py,epoll_ctl,21,244
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,newfstatat,79,106
/workspace/Python-3.10.0/Lib/socket.py,getsockname,204,122
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,read,63,2
/workspace/Python-3.10.0/Lib/tokenize.py,read,63,3
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,lseek,62,3
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,read,63,147
/workspace/bcc/web_application/main.py,fchown,55,2
/workspace/Python-3.10.0/Lib/subprocess.py,close,57,180
<string>,fdatasync,83,8
/workspace/Python-3.10.0/Lib/http/server.py,getpid,172,191
/workspace/Python-3.10.0/Lib/http/server.py,epoll_pwait,22,122
<frozen importlib._bootstrap>,lseek,62,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,getdents,61,6
/workspace/Python-3.10.0/Lib/selectors.py,close,57,61
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,mmap,222,15
/workspace/bcc/web_application/main.py,ioctl,29,40
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,newfstat,80,14
/workspace/Python-3.10.0/Lib/linecache.py,ioctl,29,3
<frozen importlib._bootstrap>,munmap,215,18
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,mmap,222,2
<frozen importlib._bootstrap_external>,getdents,61,10
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,newfstatat,79,240
/workspace/bcc/web_application/main.py,getrandom,278,8
/workspace/Python-3.10.0/Lib/tokenize.py,openat,56,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,pread,67,224
/workspace/Python-3.10.0/Lib/http/server.py,rt_sigprocmask,135,36
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,fdatasync,83,32
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,fdatasync,83,32
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,pwrite,68,108
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/context.py,newfstat,80,49
/workspace/Python-3.10.0/Lib/http/server.py,lseek,62,42
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,newfstatat,79,360
/workspace/Python-3.10.0/Lib/socketserver.py,shutdown,210,183
/workspace/Python-3.10.0/Lib/logging/__init__.py,write,64,372
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/_internal.py,getpid,172,61
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,epoll_create1,20,183
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,openat,56,4
/workspace/bcc/web_application/main.py,close,57,67
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,pipe2,59,108
/workspace/Python-3.10.0/Lib/logging/__init__.py,openat,56,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,read,63,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/result.py,fcntl,25,235
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,newfstat,80,35
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,read,63,1
/workspace/Python-3.10.0/Lib/http/server.py,unlinkat,35,4
/workspace/bcc/web_application/main.py,fcntl,25,238
/workspace/Python-3.10.0/Lib/socketserver.py,lseek,62,84
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,getdents,61,8
<string>,newfstatat,79,16
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,mmap,222,16
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,clone,220,27
/workspace/bcc/web_application/main.py,newfstat,80,87
/workspace/Python-3.10.0/Lib/socketserver.py,write,64,284
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,ioctl,29,152
<frozen importlib._bootstrap_external>,munmap,215,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,openat,56,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,pwrite,68,132
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,newfstatat,79,14
/workspace/Python-3.10.0/Lib/http/server.py,newfstat,80,152
/workspace/bcc/web_application/main.py,clone,220,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,newfstatat,79,98
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,unlinkat,35,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,newfstatat,79,106
/workspace/Python-3.10.0/Lib/socketserver.py,read,63,196
/workspace/Python-3.10.0/Lib/http/server.py,fdatasync,83,16
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,newfstat,80,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,geteuid,175,4
<string>,read,63,2
/workspace/Python-3.10.0/Lib/socketserver.py,ppoll,73,72
/workspace/Python-3.10.0/Lib/traceback.py,newfstat,80,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,rt_sigprocmask,135,72
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,getpid,172,1
<frozen importlib._bootstrap>,newfstat,80,22
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,pwrite,68,144
/workspace/bcc/web_application/main.py,unlinkat,35,2
<frozen importlib._bootstrap_external>,mprotect,226,4
<frozen importlib._bootstrap_external>,close,57,10
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,fcntl,25,167
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,ioctl,29,114
<frozen importlib._bootstrap_external>,openat,56,10
/workspace/Python-3.10.0/Lib/http/server.py,newfstatat,79,240
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,mprotect,226,8
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,read,63,12
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,mprotect,226,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,mprotect,226,6
/workspace/Python-3.10.0/Lib/http/server.py,pread,67,112
/workspace/bcc/web_application/main.py,mmap,222,7
/workspace/Python-3.10.0/Lib/logging/__init__.py,ioctl,29,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,fchown,55,10
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,newfstat,80,8
/workspace/Python-3.10.0/Lib/subprocess.py,ioctl,29,72
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,mmap,222,3
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,fchown,55,2
<frozen importlib._bootstrap>,ioctl,29,3
/workspace/Python-3.10.0/Lib/contextlib.py,close,57,36
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,getrandom,278,20
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,geteuid,175,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,newfstat,80,5
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,fchown,55,8
/workspace/Python-3.10.0/Lib/socketserver.py,munmap,215,12
/workspace/Python-3.10.0/Lib/socketserver.py,getsockname,204,122
/workspace/Python-3.10.0/Lib/selectors.py,epoll_ctl,21,61
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,getpid,172,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,read,63,196
/workspace/bcc/web_application/main.py,getpid,172,5
/workspace/Python-3.10.0/Lib/socketserver.py,mmap,222,20
/workspace/bcc/web_application/main.py,lseek,62,24
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,getpid,172,3
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,close,57,252
/workspace/bcc/web_application/main.py,pwrite,68,36
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,getrandom,278,4
<string>,getpid,172,6
/workspace/Python-3.10.0/Lib/http/server.py,fchown,55,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,getdents,61,6
/workspace/Python-3.10.0/Lib/subprocess.py,clone,220,27
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,lseek,62,84
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,fcntl,25,16
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,pwrite,68,40
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,mmap,222,3
/workspace/Python-3.10.0/Lib/tokenize.py,lseek,62,1
/workspace/Python-3.10.0/Lib/selectors.py,epoll_create1,20,61
/workspace/bcc/web_application/main.py,write,64,11
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,write,64,396
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,wait4,260,27
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,fdatasync,83,16
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/cursor.py,fcntl,25,94
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,openat,56,20
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,geteuid,175,8
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,geteuid,175,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,sendto,206,488
/workspace/Python-3.10.0/Lib/socketserver.py,fcntl,25,856
/workspace/Python-3.10.0/Lib/linecache.py,newfstatat,79,3
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,mprotect,226,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,close,57,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,ppoll,73,72
/workspace/Python-3.10.0/Lib/logging/__init__.py,lseek,62,9
/workspace/Python-3.10.0/Lib/linecache.py,read,63,27
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,rt_sigprocmask,135,54
/workspace/Python-3.10.0/Lib/socket.py,recvfrom,207,122
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,clone,220,36
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,pwrite,68,56
/workspace/Python-3.10.0/Lib/linecache.py,openat,56,3
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,getpid,172,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,openat,56,28
<string>,newfstat,80,8
<string>,close,57,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,write,64,40
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,write,64,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,write,64,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,mmap,222,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,fchown,55,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,getrandom,278,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,newfstatat,79,424
<frozen importlib._bootstrap>,read,63,15
/workspace/Python-3.10.0/Lib/socketserver.py,newfstatat,79,480
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/query.py,pread,67,98
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,fcntl,25,157
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,ioctl,29,2
/workspace/Python-3.10.0/Lib/traceback.py,newfstatat,79,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/query.py,mmap,222,2
/workspace/Python-3.10.0/Lib/socketserver.py,ioctl,29,152
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,munmap,215,6
/workspace/Python-3.10.0/Lib/http/server.py,epoll_ctl,21,122
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,mmap,222,2
/workspace/Python-3.10.0/Lib/http/server.py,fcntl,25,428
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,pread,67,123
/workspace/Python-3.10.0/Lib/logging/__init__.py,getpid,172,248
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,pwrite,68,36
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,unlinkat,35,8
/workspace/bcc/web_application/main.py,pipe2,59,27
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,geteuid,175,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/context.py,pread,67,51
/workspace/Python-3.10.0/Lib/socketserver.py,pread,67,224
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,fchown,55,6
<frozen zipimport>,newfstatat,79,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,close,57,372
/workspace/Python-3.10.0/Lib/traceback.py,lseek,62,4
/workspace/Python-3.10.0/Lib/socketserver.py,accept4,242,122
/workspace/bcc/web_application/main.py,wait4,260,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,ioctl,29,5
<frozen importlib._bootstrap>,getdents,61,14
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,read,63,2
<string>,unlinkat,35,2
<frozen importlib._bootstrap_external>,newfstat,80,13
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,geteuid,175,2
/workspace/Python-3.10.0/Lib/socketserver.py,brk,214,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,close,57,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,openat,56,8
/workspace/Python-3.10.0/Lib/linecache.py,close,57,3
/workspace/Python-3.10.0/lib/python3.10/site-packages/simple_library/module.py,write,64,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,getpid,172,16
<frozen importlib._bootstrap_external>,ioctl,29,3
/workspace/Python-3.10.0/Lib/http/server.py,close,57,248
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,munmap,215,8
/workspace/Python-3.10.0/Lib/traceback.py,close,57,4
<frozen importlib._bootstrap_external>,read,63,8
/workspace/bcc/web_application/main.py,read,63,61
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,openat,56,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,pread,67,54
/workspace/Python-3.10.0/Lib/socketserver.py,recvfrom,207,488
<frozen importlib._bootstrap_external>,lseek,62,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,epoll_ctl,21,183
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,getpid,172,7
